overall_rank,position,position_rank,player_name,team
1,WR,WR1,Ja'Marr Chase,CIN
2,RB,RB1,Bijan Robinson,ATL
3,RB,RB2,Saquon Barkley,PHI
4,WR,WR2,Justin Jefferson,MIN
5,WR,WR3,Puka Nacua,LAR
6,WR,WR4,Amon-Ra St. Brown,DET
7,RB,RB3,Christian McCaffrey,SF
8,RB,RB4,Derrick Henry,BAL
9,RB,RB5,Jahmyr Gibbs,DET
10,WR,WR5,Nico Collins,HOU
11,WR,WR6,CeeDee Lamb,DAL
12,WR,WR7,Malik Nabers,NYG
13,RB,RB6,Ashton Jeanty,LV
14,WR,WR8,Brian Thomas Jr.,JAC
15,WR,WR9,A.J. Brown,PHI
16,RB,RB7,De'Von Achane,MIA
17,WR,WR10,Drake London,ATL
18,RB,RB8,Kyren Williams,LAR
19,RB,RB9,Bucky Irving,TB
20,TE,TE1,Brock Bowers,LV
21,RB,RB10,Jonathan Taylor,IND
22,WR,WR11,Davante Adams,LAR
23,TE,TE2,Trey McBride,ARI
24,QB,QB1,Josh Allen,BUF
25,WR,WR12,Tee Higgins,CIN
26,RB,RB11,Josh Jacobs,GB
27,RB,RB12,Chase Brown,CIN
28,WR,WR13,Tyreek Hill,MIA
29,WR,WR14,Ladd McConkey,LAC
30,RB,RB13,Omarion Hampton,LAC
31,QB,QB2,Lamar Jackson,BAL
32,WR,WR15,Mike Evans,TB
33,WR,WR16,Jaxon Smith-Njigba,SEA
34,RB,RB14,James Cook,BUF
35,QB,QB3,Jalen Hurts,PHI
36,QB,QB4,Jayden Daniels,WAS
37,WR,WR17,Terry McLaurin,WAS
38,RB,RB15,Chuba Hubbard,CAR
39,RB,RB16,TreVeyon Henderson,NE
40,TE,TE3,George Kittle,SF
41,QB,QB5,Joe Burrow,CIN
42,RB,RB17,James Conner,ARI
43,RB,RB18,Kenneth Walker III,SEA
44,RB,RB19,Alvin Kamara,NO
45,RB,RB20,Breece Hall,NYJ
46,WR,WR18,Marvin Harrison Jr.,ARI
47,WR,WR19,Calvin Ridley,TEN
48,WR,WR20,Garrett Wilson,NYJ
49,WR,WR21,Xavier Worthy,KC
50,WR,WR22,DJ Moore,CHI
51,WR,WR23,Zay Flowers,BAL
52,RB,RB21,D'Andre Swift,CHI
53,TE,TE4,Sam LaPorta,DET
54,WR,WR24,DK Metcalf,PIT
55,WR,WR25,Rome Odunze,CHI
56,QB,QB6,Patrick Mahomes,KC
57,RB,RB22,David Montgomery,DET
58,RB,RB23,Tony Pollard,TEN
59,WR,WR26,Courtland Sutton,DEN
60,QB,QB7,Baker Mayfield,TB
61,WR,WR27,Rashee Rice,KC
62,WR,WR28,Jameson Williams,DET
63,WR,WR29,DeVonta Smith,PHI
64,WR,WR30,Jaylen Waddle,MIA
65,WR,WR31,Tetairoa McMillan,CAR
66,WR,WR32,George Pickens,DAL
67,WR,WR33,Travis Hunter,JAC
68,RB,RB24,RJ Harvey,DEN
69,WR,WR34,Matthew Golden,GB
70,TE,TE5,T.J. Hockenson,MIN
71,WR,WR35,Jerry Jeudy,CLE
72,WR,WR36,Chris Olave,NO
73,RB,RB25,Isiah Pacheco,KC
74,TE,TE6,Mark Andrews,BAL
75,TE,TE7,Travis Kelce,KC
76,RB,RB26,Aaron Jones Sr.,MIN
77,WR,WR37,Jakobi Meyers,LV
78,RB,RB27,Tyrone Tracy Jr.,NYG
79,RB,RB28,Jacory Croskey-Merritt,WAS
80,RB,RB29,Kaleb Johnson,PIT
81,RB,RB30,Joe Mixon,HOU
82,TE,TE8,David Njoku,CLE
83,WR,WR38,Emeka Egbuka,TB
84,TE,TE9,Evan Engram,DEN
85,RB,RB31,Jaylen Warren,PIT
86,WR,WR39,Chris Godwin,TB
87,WR,WR40,Jordan Addison,MIN
88,RB,RB32,Austin Ekeler,WAS
89,WR,WR41,Cooper Kupp,SEA
90,QB,QB8,Bo Nix,DEN
91,QB,QB9,Kyler Murray,ARI
92,QB,QB10,Brock Purdy,SF
93,QB,QB11,Justin Herbert,LAC
94,QB,QB12,Caleb Williams,CHI
95,QB,QB13,Dak Prescott,DAL
96,QB,QB14,Justin Fields,NYJ
97,TE,TE10,Tyler Warren,IND
98,RB,RB33,Rhamondre Stevenson,NE
99,RB,RB34,J.K. Dobbins,DEN
100,RB,RB35,Javonte Williams,DAL
101,WR,WR42,Keon Coleman,BUF
102,WR,WR43,Michael Pittman Jr.,IND
103,WR,WR44,Stefon Diggs,NE
104,WR,WR45,Deebo Samuel Sr.,WAS
105,TE,TE11,Colston Loveland,CHI
106,TE,TE12,Tucker Kraft,GB
107,WR,WR46,Khalil Shakir,BUF
108,TE,TE13,Dallas Goedert,PHI
109,WR,WR47,Jayden Reed,GB
110,WR,WR48,Darnell Mooney,ATL
111,RB,RB36,Cam Skattebo,NYG
112,WR,WR49,Ricky Pearsall,SF
113,WR,WR50,Keenan Allen,LAC
114,RB,RB37,Tank Bigsby,JAC
115,WR,WR51,Josh Downs,IND
116,WR,WR52,Jayden Higgins,HOU
117,WR,WR53,Jauan Jennings,SF
118,WR,WR54,Rashid Shaheed,NO
119,RB,RB38,Jordan Mason,MIN
120,RB,RB39,Tyjae Spears,TEN
121,RB,RB40,Travis Etienne Jr.,JAC
122,RB,RB41,Rachaad White,TB
123,RB,RB42,Quinshon Judkins,CLE
124,QB,QB15,Drake Maye,NE
125,TE,TE14,Dalton Kincaid,BUF
126,QB,QB16,Jared Goff,DET
127,RB,RB43,Zach Charbonnet,SEA
128,QB,QB17,Jordan Love,GB
129,RB,RB44,Trey Benson,ARI
130,RB,RB45,Tyler Allgeier,ATL
131,TE,TE15,Kyle Pitts Sr.,ATL
132,WR,WR55,Adam Thielen,CAR
133,QB,QB18,J.J. McCarthy,MIN
134,RB,RB46,Jaydon Blue,DAL
135,RB,RB47,Braelon Allen,NYJ
136,WR,WR56,Hollywood Brown,KC
137,RB,RB48,Jaylen Wright,MIA
138,WR,WR57,Brandon Aiyuk,SF
139,RB,RB49,Jerome Ford,CLE
140,WR,WR58,Xavier Legette,CAR
141,TE,TE16,Jake Ferguson,DAL
142,RB,RB50,Najee Harris,LAC
143,WR,WR59,Cedric Tillman,CLE
144,TE,TE17,Hunter Henry,NE
145,QB,QB19,Tua Tagovailoa,MIA
146,QB,QB20,Matthew Stafford,LAR
147,QB,QB21,C.J. Stroud,HOU
148,RB,RB51,Bhayshul Tuten,JAC
149,DST,DST1,Texans D/ST,HOU
150,DST,DST2,Steelers D/ST,PIT
151,DST,DST3,Broncos D/ST,DEN
152,DST,DST4,Vikings D/ST,MIN
153,DST,DST5,Seahawks D/ST,SEA
154,DST,DST6,Ravens D/ST,BAL
155,RB,RB52,Will Shipley,PHI
156,RB,RB53,Nick Chubb,HOU
157,RB,RB54,Ray Davis,BUF
158,WR,WR60,Rashod Bateman,BAL
159,WR,WR61,Michael Wilson,ARI
160,WR,WR62,Wan'Dale Robinson,NYG
161,DST,DST7,Patriots D/ST,NE
162,DST,DST8,Lions D/ST,DET
163,DST,DST9,Eagles D/ST,PHI
164,DST,DST10,Bills D/ST,BUF
165,DST,DST11,Colts D/ST,IND
166,DST,DST12,Jets D/ST,NYJ
167,TE,TE18,Zach Ertz,WAS
168,K,K1,Jake Bates,DET
169,WR,WR63,Christian Kirk,HOU
170,WR,WR64,Marvin Mims Jr.,DEN
171,K,K2,Chase McLaughlin,TB
172,K,K3,Cameron Dicker,LAC
173,K,K4,Brandon Aubrey,DAL
174,K,K5,Jason Sanders,MIA
175,K,K6,Tyler Bass,BUF
176,K,K7,Jake Elliott,PHI
177,K,K8,Chris Boswell,PIT
178,K,K9,Harrison Butker,KC
179,K,K10,Cairo Santos,CHI
180,K,K11,Tyler Loop,BAL
181,K,K12,Matt Gay,WAS
182,WR,WR65,Tre Harris,LAC
183,WR,WR66,DeMario Douglas,NE
184,RB,RB55,MarShawn Lloyd,GB
185,RB,RB56,Justice Hill,BAL
186,WR,WR67,Luther Burden III,CHI
187,TE,TE19,Jonnu Smith,PIT
188,RB,RB57,Brian Robinson Jr.,SF
189,WR,WR68,Kyle Williams,NE
190,WR,WR69,Jack Bech,LV
191,TE,TE20,Darren Waller,MIA
192,WR,WR70,Tyler Lockett,TEN