POSITION,PLAYER,FANTASY_PTS
QB,Lamar Jackson BAL,367.52
QB,Josh Allen BUF,366.17
QB,Jalen Hurts PHI,349.57
QB,Jayden Daniels WAS,345.45
QB,Joe Burrow CIN,331.05
QB,Patrick Mahomes II KC,317.03
QB,Kyler Murray ARI,307.99
QB,Baker Mayfield TB,307.24
QB,Brock Purdy SF,299.12
QB,Bo Nix DEN,296.48
QB,Justin Fields NYJ,290.02
QB,Justin Herbert LAC,282.86
QB,Dak Prescott DAL,279.37
QB,Jared Goff DET,279.35
QB,J.J. McCarthy MIN,277.08
QB,Caleb Williams CHI,276.89
RB,Saquon Barkley PHI,273.17
QB,C.J. Stroud HOU,269.01
QB,Jordan Love GB,266.15
RB,Bijan Robinson ATL,262.99
QB,Trevor Lawrence JAC,261.22
QB,Drake Maye NE,261.18
RB,Jahmyr Gibbs DET,259.23
QB,Matthew Stafford LAR,255.6
QB,Tua Tagovailoa MIA,250.79
QB,Bryce Young CAR,250.3
QB,Michael Penix Jr. ATL,250.15
RB,Derrick Henry BAL,248.56
QB,Geno Smith LV,248.31
QB,Sam Darnold SEA,242.67
QB,Cameron Ward TEN,241.54
WR,Ja'Marr Chase CIN,231.04
RB,Christian McCaffrey SF,228.67
QB,Aaron Rodgers PIT,226.99
RB,Josh Jacobs GB,226.58
RB,De'Von Achane MIA,223.46
RB,Ashton Jeanty LV,217.63
RB,Jonathan Taylor IND,216.36
RB,Kyren Williams LAR,213.42
WR,Justin Jefferson MIN,205.11
RB,Bucky Irving TB,202.6
RB,James Cook BUF,196.42
RB,Chase Brown CIN,196.35
WR,CeeDee Lamb DAL,193.18
QB,Anthony Richardson Sr. IND,192.13
WR,Puka Nacua LAR,187.96
QB,Russell Wilson NYG,186.41
WR,Nico Collins HOU,183.9
WR,Malik Nabers NYG,183.07
RB,James Conner ARI,182.8
RB,Breece Hall NYJ,182.58
WR,Brian Thomas Jr. JAC,182.18
RB,Kenneth Walker III SEA,182.15
WR,Amon-Ra St. Brown DET,181.43
RB,Alvin Kamara NO,177.91
RB,Omarion Hampton LAC,175.3
RB,Chuba Hubbard CAR,174.77
WR,A.J. Brown PHI,173.07
QB,Tyler Shough NO,172.68
WR,Drake London ATL,169.97
WR,Tyreek Hill MIA,168.06
RB,D'Andre Swift CHI,166.61
WR,Mike Evans TB,164.74
RB,David Montgomery DET,164.55
WR,Ladd McConkey LAC,164.23
WR,Tee Higgins CIN,160.99
WR,Terry McLaurin WAS,159.42
RB,Joe Mixon HOU,159.11
WR,Davante Adams LAR,158.96
RB,Aaron Jones Sr. MIN,158.85
RB,Tony Pollard TEN,157.44
WR,DK Metcalf PIT,155.11
RB,TreVeyon Henderson NE,154.83
WR,Marvin Harrison Jr. ARI,154.41
WR,Jaxon Smith-Njigba SEA,152.56
TE,Brock Bowers LV,148.75
TE,George Kittle SF,147.71
WR,Xavier Worthy KC,146.46
RB,Kaleb Johnson PIT,145.82
RB,Brian Robinson Jr. WAS,145.54
WR,Zay Flowers BAL,145.11
RB,Isiah Pacheco KC,144.53
WR,Garrett Wilson NYJ,144.32
WR,Courtland Sutton DEN,144.25
WR,DJ Moore CHI,142.77
WR,Calvin Ridley TEN,142.04
WR,Jameson Williams DET,141.97
RB,RJ Harvey DEN,140.69
RB,Tyrone Tracy Jr. NYG,139.5
TE,Trey McBride ARI,139.13
WR,DeVonta Smith PHI,137.69
WR,George Pickens DAL,137.39
WR,Jerry Jeudy CLE,132.05
WR,Deebo Samuel Sr. WAS,132.04
RB,Jaylen Warren PIT,129.42
WR,Jakobi Meyers LV,128.33
WR,Jaylen Waddle MIA,127.09
WR,Jauan Jennings SF,125.91
WR,Jayden Reed GB,124.36
WR,Matthew Golden GB,122.34
WR,Tetairoa McMillan CAR,122.06
WR,Travis Hunter JAC,121.12
WR,Rome Odunze CHI,119.44
WR,Chris Godwin TB,119.32
RB,J.K. Dobbins DEN,118.77
WR,Ricky Pearsall SF,118.33
WR,Keon Coleman BUF,118.24
WR,Chris Olave NO,117.67
WR,Rashee Rice KC,117.59
RB,Javonte Williams DAL,117.52
RB,Jordan Mason MIN,117.45
TE,Mark Andrews BAL,117.3
WR,Stefon Diggs NE,116.54
DST,,116.2
DST,,116.2
TE,Sam LaPorta DET,115.79
DST,,115.5
DST,,115.4
DST,,114.4
WR,Cooper Kupp SEA,113.94
RB,Rhamondre Stevenson NE,113.8
WR,Rashid Shaheed NO,113.45
RB,Travis Etienne Jr. JAC,113.21
WR,Jordan Addison MIN,112.32
DST,,112.1
RB,Austin Ekeler WAS,111.59
DST,,110.7
WR,Darnell Mooney ATL,110.51
QB,Daniel Jones IND,110.41
WR,Khalil Shakir BUF,109.76
RB,Zach Charbonnet SEA,108.88
DST,,108.7
RB,Quinshon Judkins CLE,108.48
DST,,108.4
DST,,108.2
WR,Michael Pittman Jr. IND,107.63
TE,Travis Kelce KC,106.9
TE,T.J. Hockenson MIN,106.52
WR,Marvin Mims Jr. DEN,106.4
RB,Najee Harris LAC,105.88
DST,,104.9
QB,Joe Flacco CLE,104.26
DST,,103.8
DST,,103.5
DST,,102.7
DST,,102.5
DST,,102.3
DST,,102.3
WR,Rashod Bateman BAL,102.02
DST,,101.8
DST,,101.5
RB,Tyjae Spears TEN,101.41
RB,Rachaad White TB,101.34
DST,,101.1
TE,David Njoku CLE,100.35
RB,Cam Skattebo NYG,99.23
WR,Josh Downs IND,99.09
DST,,98.7
DST,,98.4
RB,Tank Bigsby JAC,98.24
DST,,97.2
DST,,96.1
RB,Trey Benson ARI,95.12
DST,,93.8
WR,Marquise Brown KC,93.8
DST,,92.9
TE,Tucker Kraft GB,92.49
WR,Adam Thielen CAR,91.95
WR,Keenan Allen LAC,91.93
DST,,91.9
DST,,91.2
RB,Jerome Ford CLE,91
WR,Cedric Tillman CLE,90.81
DST,,90.1
DST,,89.8
RB,Jaylen Wright MIA,89.37
WR,Emeka Egbuka TB,88.83
TE,Tyler Warren IND,88.35
WR,Xavier Legette CAR,87.22
RB,Ray Davis BUF,87.1
RB,Dylan Sampson CLE,85.84
TE,Dallas Goedert PHI,85.74
DST,,85.1
WR,Jayden Higgins HOU,84.8
WR,Christian Kirk HOU,84.74
TE,Zach Ertz WAS,84.35
RB,Tyler Allgeier ATL,84.19
TE,Evan Engram DEN,83.62
RB,Jaydon Blue DAL,83.36
TE,Dalton Kincaid BUF,83.32
DST,,82.9
TE,Kyle Pitts Sr. ATL,82.8
TE,Jake Ferguson DAL,82.62
WR,Brandon Aiyuk SF,82.48
WR,Romeo Doubs GB,82.37
RB,Isaac Guerendo SF,82.19
WR,Wan'Dale Robinson NYG,81.37
RB,Rico Dowdle CAR,80.81
WR,Luther Burden III CHI,80.35
RB,Nick Chubb HOU,80.19
WR,Joshua Palmer BUF,79.63
RB,Roschon Johnson CHI,79.25
WR,Tyler Lockett TEN,78.68
TE,Darren Waller MIA,78.14
TE,Hunter Henry NE,78.04
TE,Isaiah Likely BAL,76.95
TE,Jonnu Smith PIT,76.65
TE,Colston Loveland CHI,76.61
WR,Michael Wilson ARI,76.39
TE,Cade Otton TB,76.23
WR,DeMario Douglas NE,75.5
WR,Calvin Austin III PIT,74.08
WR,Tre' Harris LAC,73.87
WR,Jack Bech LV,73.71
TE,Brenton Strange JAC,73.68
RB,Bhayshul Tuten JAC,73
TE,Mike Gesicki CIN,72.63
WR,Alec Pierce IND,72.52
QB,Spencer Rattler NO,72.42
RB,Braelon Allen NYJ,71.6
WR,Jalen McMillan TB,71.26
WR,Quentin Johnston LAC,70.4
TE,Chig Okonkwo TEN,69.52
TE,Juwan Johnson NO,69.5
RB,MarShawn Lloyd GB,68.99
TE,Dalton Schultz HOU,68.82
TE,Pat Freiermuth PIT,68.56
RB,Kareem Hunt KC,67.86
WR,Diontae Johnson CLE,67.75
WR,Kyle Williams NE,67.18
WR,Dyami Brown JAC,66.71
WR,Darius Slayton NYG,65.69
WR,Tutu Atwell LAR,65.42
WR,DeAndre Hopkins BAL,64.9
WR,Nick Westbrook-Ikhine MIA,64.86
RB,Kendre Miller NO,64.65
RB,Miles Sanders DAL,64.62
TE,Tyler Higbee LAR,64.53
TE,Robbie Ouzts SEA,63.9
TE,Theo Johnson NYG,63.01
WR,Josh Reynolds NYJ,62.11
WR,Ray-Ray McCloud III ATL,61.01
WR,Jalen Tolbert DAL,60.87
WR,Brandin Cooks NO,60.74
TE,Elijah Arroyo SEA,60.2
RB,Raheem Mostert LV,59.97
TE,Mason Taylor NYJ,59.56
RB,Blake Corum LAR,59.22
WR,Tre Tucker LV,57.4
RB,Woody Marks HOU,57.15
WR,Jalen Nailor MIN,56.79
RB,Justice Hill BAL,56.74
WR,Andrei Iosivas CIN,56.55
WR,Marquez Valdes-Scantling SEA,56.29
WR,Jalen Coker CAR,55.5
WR,Jordan Whittington LAR,55.37
WR,Tory Horton SEA,54.74
QB,Kenny Pickett CLE,54.67
RB,Keaton Mitchell BAL,54.54
RB,Samaje Perine CIN,53.81
WR,Dont'e Thornton Jr. LV,53.23
WR,Pat Bryant DEN,52.96
QB,Jaxson Dart NYG,52.87
WR,Dontayvion Wicks GB,52.77
WR,Allen Lazard NYJ,52.24
RB,Ty Johnson BUF,52.12
TE,Will Dissly LAC,52.05
WR,Adonai Mitchell IND,52.01
WR,Noah Brown WAS,51.84
RB,Khalil Herbert IND,51.7
WR,Christian Watson GB,51.36
TE,Noah Fant CIN,51.26
TE,Ja'Tavion Sanders CAR,51.24
K,,51.1
WR,Russell Gage Jr. SF,51.09
WR,Troy Franklin DEN,50.83
TE,Tyler Conklin LAC,50.08
K,,48.4
WR,Jaylin Noel HOU,47.59
K,,47.5
WR,Elic Ayomanor TEN,47.38
K,,47.3
K,,47.2
WR,K.J. Osborn WAS,46.88
K,,46.2
K,,46.1
WR,Curtis Samuel BUF,45.49
QB,Dillon Gabriel CLE,44.68
TE,AJ Barner SEA,44.47
K,,44.3
TE,Noah Gray KC,44.2
WR,Anthony Miller BAL,43.95
RB,Jarquez Hunter LAR,43.8
RB,Antonio Gibson NE,42.66
K,,42.3
K,,42.2
WR,Kayshon Boutte NE,42.15
RB,Elijah Mitchell KC,42.15
TE,Cole Kmet CHI,41.87
WR,Greg Dortch ARI,41.79